date,mean_o3
2022-01-01,28.422136
2022-01-02,32.108566
2022-01-03,21.39522
2022-01-04,19.038141
2022-01-05,14.733167
2022-01-06,16.198313
2022-01-07,17.298822
2022-01-08,24.212088
2022-01-09,20.074924
2022-01-10,36.87137
2022-01-11,31.984388
2022-01-12,30.322731
2022-01-13,35.49693
2022-01-14,21.917677
2022-01-15,35.75272
2022-01-16,33.80899
2022-01-17,28.611801
2022-01-18,21.733047
2022-01-19,25.119799
2022-01-20,31.913374
2022-01-21,24.68721
2022-01-22,19.24919
2022-01-23,28.280863
2022-01-24,30.32335
2022-01-25,39.5079
2022-01-26,44.02566
2022-01-27,41.064255
2022-01-28,42.25588
2022-01-29,41.424168
2022-01-30,45.779343
2022-01-31,66.57197
2022-02-01,64.439476
2022-02-02,60.097584
2022-02-03,64.01206
2022-02-04,71.33136
2022-02-05,66.3432
2022-02-06,57.897808
2022-02-07,50.944736
2022-02-08,47.708332
2022-02-09,46.207264
2022-02-10,47.71269
2022-02-11,46.619953
2022-02-12,50.710308
2022-02-13,47.90285
2022-02-14,61.442326
2022-02-15,57.41579
2022-02-16,57.08991
2022-02-17,52.179825
2022-02-18,48.31217
2022-02-19,65.809494
2022-02-20,54.44009
2022-02-21,57.851032
2022-02-22,58.640503
2022-02-23,43.0536
2022-02-24,44.851337
2022-02-25,53.336365
2022-02-26,66.73326
2022-02-27,51.429714
2022-02-28,54.110092
2022-03-01,68.749565
2022-03-02,54.019825
2022-03-03,53.064426
2022-03-04,62.393524
2022-03-05,61.85643
2022-03-06,46.249783
2022-03-07,52.67851
2022-03-08,54.51854
2022-03-09,64.66216
2022-03-10,85.17566
2022-03-11,78.601974
2022-03-12,58.683323
2022-03-13,48.777863
2022-03-14,69.24386
2022-03-15,68.39222
2022-03-16,59.692707
2022-03-17,59.963596
2022-03-18,44.313156
2022-03-19,63.450916
2022-03-20,59.21382
2022-03-21,59.897324
2022-03-22,54.57105
2022-03-23,53.28816
2022-03-24,38.75308
2022-03-25,44.86754
2022-03-26,61.481472
2022-03-27,74.66415
2022-03-28,70.795395
2022-03-29,61.609695
2022-03-30,54.187016
2022-03-31,62.93807
2022-04-01,68.92329
2022-04-02,71.75662
2022-04-03,77.394516
2022-04-04,102.79699
2022-04-05,90.74172
2022-04-06,77.38651
2022-04-07,67.83224
2022-04-08,98.95746
2022-04-09,102.35745
2022-04-10,108.50931
2022-04-11,91.10198
2022-04-12,82.734795
2022-04-13,83.81323
2022-04-14,73.32522
2022-04-15,79.453285
2022-04-16,75.501205
2022-04-17,79.311295
2022-04-18,95.62741
2022-04-19,93.78509
2022-04-20,111.11667
2022-04-21,94.45154
2022-04-22,80.51977
2022-04-23,90.19039
2022-04-24,95.9155
2022-04-25,92.98202
2022-04-26,81.36338
2022-04-27,71.096275
2022-04-28,61.954433
2022-04-29,60.999737
2022-04-30,75.45855
2022-05-01,71.460304
2022-05-02,75.81097
