group,student,experiment_id,model,seq_len,pre_len,seed,use_diffusion,use_pe_graph,use_pe_film,pe_adaptive_loss,rmse,mae,mape,peak_rmse,step6_rmse,output_dir,log_file,notes
g3,cl,g3_pedw_p6_l24_s42,PE-DiffWaveNet,24,6,42,1,1,1,1,11.24,7.91,31.89,14.15,13.92,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l24_s42,logs/pedw/g3_pedw_p6_l24_s42.log,main F=15
g3,cl,g3_pedw_p6_l24_s52,PE-DiffWaveNet,24,6,52,1,1,1,1,11.13,7.98,32.39,13.83,13.73,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l24_s52,logs/pedw/g3_pedw_p6_l24_s52.log,multi-seed
g3,cl,g3_pedw_p6_l24_s62,PE-DiffWaveNet,24,6,62,1,1,1,1,11.51,8.17,32.56,13.26,13.97,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l24_s62,logs/pedw/g3_pedw_p6_l24_s62.log,multi-seed
g3,cl,g3_pedw_p6_l12_s42,PE-DiffWaveNet,12,6,42,1,1,1,1,11.63,8.32,34.25,13.48,14.28,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l12_s42,logs/pedw/g3_pedw_p6_l12_s42.log,seq_len ablation
g3,cl,g3_pedw_p6_l48_s42,PE-DiffWaveNet,48,6,42,1,1,1,1,11.18,7.94,31.87,12.34,13.49,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l48_s42,logs/pedw/g3_pedw_p6_l48_s42.log,seq_len ablation
g3,cl,g3_pedw_p1_l24_s42,PE-DiffWaveNet,24,1,42,1,1,1,1,6.88,5.00,21.02,5.68,,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p1_l24_s42,logs/pedw/g3_pedw_p1_l24_s42.log,pre_len sweep
g3,cl,g3_pedw_p3_l24_s42,PE-DiffWaveNet,24,3,42,1,1,1,1,9.05,6.37,26.26,10.19,,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p3_l24_s42,logs/pedw/g3_pedw_p3_l24_s42_fix.log,pre_len sweep; LR=3e-4 AMP=0 PATIENCE=25
g3,cl,g3_pedw_p12_l24_s42,PE-DiffWaveNet,24,12,42,1,1,1,1,14.24,10.14,38.61,18.52,14.64,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p12_l24_s42,logs/pedw/g3_pedw_p12_l24_s42.log,pre_len sweep
g3,cl,g3_pedw_p24_l24_s42,PE-DiffWaveNet,24,24,42,1,1,1,1,16.79,12.47,48.42,25.35,14.55,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p24_l24_s42,logs/pedw/g3_pedw_p24_l24_s42.log,pre_len sweep
g3,cl,g3_pedw_no_diff_p6_l24_s42,PE-DiffWaveNet,24,6,42,0,1,1,1,10.93,7.58,29.90,14.97,13.61,matrix_N95_PEDiffWaveNet_noleak_g3_pedw_no_diff_p6_l24_s42,logs/pedw/g3_pedw_no_diff_p6_l24_s42.log,ablation: no diffusion
