experiment_id,model,seq_len,pre_len,seed,use_diffusion,use_pe_graph,use_pe_film,pe_shuffle_seed,rmse,mae,mape,peak_rmse,step6_rmse,best_epoch,output_dir,log_file,command,status
g3_pedw_p6_l24_s42,PE-DiffWaveNet,24,6,42,1,1,1,-1,11.240200308234002,7.90931254028974,31.89117228152789,14.154732650364165,13.916746030508309,49,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l24_s42,/home/cl/ozone-forecast/logs/g3_pedw_p6_l24_s42.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p6_l24_s42 bash scripts/run_train_pediffwavenet.sh 6 24 42",success
g3_pedw_p6_l24_s52,PE-DiffWaveNet,24,6,52,1,1,1,-1,11.126345105960093,7.981111345459437,32.39232006829191,13.830286802815683,13.72742168260257,21,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l24_s52,/home/cl/ozone-forecast/logs/g3_pedw_p6_l24_s52.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p6_l24_s52 bash scripts/run_train_pediffwavenet.sh 6 24 52",success
g3_pedw_p6_l24_s62,PE-DiffWaveNet,24,6,62,1,1,1,-1,11.50911029649757,8.17224774752324,32.56308351980074,13.264367750950314,13.974514481685201,41,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l24_s62,/home/cl/ozone-forecast/logs/g3_pedw_p6_l24_s62.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p6_l24_s62 bash scripts/run_train_pediffwavenet.sh 6 24 62",success
g3_pedw_p6_l12_s42,PE-DiffWaveNet,12,6,42,1,1,1,-1,11.634008829694176,8.319543482203091,34.24722200776616,13.478259282770237,14.279699962193959,28,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l12_s42,/home/cl/ozone-forecast/logs/g3_pedw_p6_l12_s42.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p6_l12_s42 bash scripts/run_train_pediffwavenet.sh 6 12 42",success
g3_pedw_p6_l48_s42,PE-DiffWaveNet,48,6,42,1,1,1,-1,11.180729390221764,7.935971747116411,31.873883609699917,12.336794425141852,13.485741325259763,32,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p6_l48_s42,/home/cl/ozone-forecast/logs/g3_pedw_p6_l48_s42.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p6_l48_s42 bash scripts/run_train_pediffwavenet.sh 6 48 42",success
g3_pedw_p1_l24_s42,PE-DiffWaveNet,24,1,42,1,1,1,-1,6.878034888034746,4.996095732087004,21.02127049076,5.675400343277801,,46,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p1_l24_s42,/home/cl/ozone-forecast/logs/g3_pedw_p1_l24_s42.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p1_l24_s42 bash scripts/run_train_pediffwavenet.sh 1 24 42",success
g3_pedw_p3_l24_s42,PE-DiffWaveNet,24,3,42,1,1,1,-1,9.047182779570953,6.365191764382742,26.257762656968225,10.189469334334204,,18,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p3_l24_s42,/home/cl/ozone-forecast/logs/g3_pedw_p3_l24_s42_fix.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p3_l24_s42 LR=3e-4 AMP=0 PATIENCE=25 bash scripts/run_train_pediffwavenet.sh 3 24 42",success
g3_pedw_p12_l24_s42,PE-DiffWaveNet,24,12,42,1,1,1,-1,14.238816797317561,10.143892749033993,38.609136353506116,18.520819042331286,14.636418869145052,21,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p12_l24_s42,/home/cl/ozone-forecast/logs/g3_pedw_p12_l24_s42.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p12_l24_s42 bash scripts/run_train_pediffwavenet.sh 12 24 42",success
g3_pedw_p24_l24_s42,PE-DiffWaveNet,24,24,42,1,1,1,-1,16.788605082449536,12.46810061106941,48.4153788384291,25.352199040922365,14.548566328885224,18,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_p24_l24_s42,/home/cl/ozone-forecast/logs/g3_pedw_p24_l24_s42.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_p24_l24_s42 bash scripts/run_train_pediffwavenet.sh 24 24 42",success
g3_pedw_no_diff_p6_l24_s42,PE-DiffWaveNet,24,6,42,0,1,1,-1,10.92609705489426,7.575127738732452,29.90256386060518,14.966705958690584,13.612256792334898,19,/home/cl/ozone-forecast/matrix_N95_PEDiffWaveNet_noleak_g3_pedw_no_diff_p6_l24_s42,/home/cl/ozone-forecast/logs/g3_pedw_no_diff_p6_l24_s42.log,"cd '/home/cl/ozone-forecast' && DEVICE=cuda EPOCHS=120 EXP_NAME=g3_pedw_no_diff_p6_l24_s42 USE_DIFFUSION=0 bash scripts/run_train_pediffwavenet.sh 6 24 42",success
