data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
AIR_N95,UGnet,50,UGnet,32,24,6,ddim_multi,40,0.1,1,300,0,4,0.002,1e-05,10,True,9:43:29,74.41079,95.95497,564.8178,1.2425697728207237,2976.4314,13.625508299999638,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+True+False+0.002+4N-50+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+True+False+0.002+4.log,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+True+False+0.002+4.pkl
AIR_N95,UGnet,50,UGnet,32,24,6,ddim_multi,40,0.1,1,300,5,4,0.002,1e-05,10,False,19:22:49,34.495777,41.10179,557.662,0.9566941512258429,1379.8312,314.9831999001326,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4N-50+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4.log,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4.pkl
AIR_N95,UGnet,50,UGnet,32,24,1,ddim_multi,40,0.1,1,300,89,4,0.002,1e-05,10,False,23:58:35,9.612642,13.0840645,122.21199,0.2665589483160722,384.50565,309.7225113000022,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+4N-50+T_h-24+T_p-1+epsilon_theta-UGnet.dm4stg,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+4.log,D:\生产实习-时空数据\臭氧预测资料\external_baselines\DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+4.pkl
AIR_N95,UGnet,50,UGnet,32,24,1,ddim_multi,40,0.1,1,300,14,16,0.002,1e-05,10,False,21:1:56,12.205624,15.717622,171.50282,0.3384625033328408,488.22495,55.52832305012271,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+16N-50+T_h-24+T_p-1+epsilon_theta-UGnet.dm4stg,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+16.log,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+16.pkl
AIR_N95,UGnet,50,UGnet,32,24,1,ddim_multi,40,0.1,1,300,3,4,0.002,1e-05,10,False,9:3:16,12.682236,15.568635,184.11597,0.35167894865337174,507.28943,37.451177060138434,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+4N-50+T_h-24+T_p-1+epsilon_theta-UGnet.dm4stg,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+4.log,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+1+42+1+True+AIR_N95+0.0+False+False+0.002+4.pkl
AIR_N95,UGnet,50,UGnet,32,24,3,ddim_multi,40,0.1,1,300,2,4,0.002,1e-05,10,False,9:27:16,29.266624,34.27585,462.71463,0.8114280700683594,1170.665,40.745748430956155,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+3+42+1+True+AIR_N95+0.0+False+False+0.002+4N-50+T_h-24+T_p-3+epsilon_theta-UGnet.dm4stg,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+3+42+1+True+AIR_N95+0.0+False+False+0.002+4.log,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+3+42+1+True+AIR_N95+0.0+False+False+0.002+4.pkl
AIR_N95,UGnet,50,UGnet,32,24,6,ddim_multi,40,0.1,1,300,182,4,0.002,1e-05,10,False,16:55:32,29.195286,35.735096,469.99097,0.8096919812654194,1167.8115,54.23489410162438,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4N-50+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4.log,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4.pkl
AIR_N95,UGnet,50,UGnet,32,24,12,ddim_multi,40,0.1,1,300,6,4,0.002,1e-05,10,False,17:44:39,37.585487,43.97471,616.87085,1.048493837055407,1503.4194,85.26008248201106,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+12+42+1+True+AIR_N95+0.0+False+False+0.002+4N-50+T_h-24+T_p-12+epsilon_theta-UGnet.dm4stg,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+12+42+1+True+AIR_N95+0.0+False+False+0.002+4.log,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+12+42+1+True+AIR_N95+0.0+False+False+0.002+4.pkl
AIR_N95,UGnet,50,UGnet,32,24,24,ddim_multi,40,0.1,1,300,11,4,0.002,1e-05,10,False,19:7:47,40.608868,47.216274,662.9691,1.1383874792801707,1624.355,116.18606168171391,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+24+42+1+True+AIR_N95+0.0+False+False+0.002+4N-50+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+24+42+1+True+AIR_N95+0.0+False+False+0.002+4.log,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+24+42+1+True+AIR_N95+0.0+False+False+0.002+4.pkl
AIR_N95,UGnet,50,UGnet,32,24,6,ddim_multi,40,0.1,1,300,2,4,0.002,1e-05,10,False,19:10:39,35.864727,42.111683,567.52234,0.9946599257619757,1434.589,83.83240987278987,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/model/UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4N-50+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/log//UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4.log,/home/cl/ozone-forecast/external_baselines_F1/DiffSTG/output/forecast/UGnet+32+50+quad+0.1+50+ddpm+24+6+42+1+True+AIR_N95+0.0+False+False+0.002+4.pkl
