variable,meaning,correlation_with_o3,sample_count
t2m,2 米气温,0.6190183945747781,828115
ssrd,向下短波辐射,0.4564628106519908,828115
ssr,地表太阳辐射,0.45486071304609854,828115
blh,边界层高度,0.44145762847939674,828115
d2m,2 米露点温度,0.4049259275141992,828115
kx,K 指数,0.37484321485253275,828115
tcwv,整层可降水量,0.37076982537640035,828115
zust,摩擦速度,0.29668574878154996,828115
v10,10 米 V 向风速,0.23691537298492749,828115
tcc,总云量,0.08455877492517123,828115
tp,总降水量,0.03346549248337751,828115
fsr,地表相关辐射变量,-0.015354563560331099,828115
sp,地表气压,-0.04775536060857564,828115
u10,10 米 U 向风速,-0.06523133002135491,828115
